,source,destination
0,frontend,adservice
1,checkoutservice,cartservice
2,frontend,cartservice
3,frontend,checkoutservice
4,checkoutservice,currencyservice
5,frontend,currencyservice
6,checkoutservice,emailservice
7,loadgenerator,frontend
8,checkoutservice,paymentservice
9,checkoutservice,productcatalogservice
10,frontend,productcatalogservice
11,recommendationservice,productcatalogservice
12,frontend,recommendationservice
13,checkoutservice,shippingservice
14,frontend,shippingservice
15,adservice,docker-desktop
16,cartservice,docker-desktop
17,checkoutservice,docker-desktop
18,currencyservice,docker-desktop
19,emailservice,docker-desktop
20,frontend,docker-desktop
21,frontend,docker-desktop
22,frontend,docker-desktop
23,frontend,docker-desktop
24,frontend,docker-desktop
25,frontend,docker-desktop
26,frontend,docker-desktop
27,frontend,docker-desktop
28,frontend,docker-desktop
29,frontend,docker-desktop
30,frontend,docker-desktop
31,frontend,docker-desktop
32,frontend,docker-desktop
33,frontend,docker-desktop
34,loadgenerator,docker-desktop
35,paymentservice,docker-desktop
36,paymentservice,docker-desktop
37,paymentservice,docker-desktop
38,paymentservice,docker-desktop
39,paymentservice,docker-desktop
40,paymentservice,docker-desktop
41,paymentservice,docker-desktop
42,productcatalogservice,docker-desktop
43,recommendationservice,docker-desktop
44,redis,docker-desktop
45,shippingservice,docker-desktop
