,source,destination
0,frontend,adservice
1,checkoutservice,cartservice
2,frontend,cartservice
3,frontend,checkoutservice
4,checkoutservice,currencyservice
5,frontend,currencyservice
6,checkoutservice,emailservice
7,loadgenerator,frontend
8,checkoutservice,paymentservice
9,checkoutservice,productcatalogservice
10,frontend,productcatalogservice
11,recommendationservice,productcatalogservice
12,frontend,recommendationservice
13,checkoutservice,shippingservice
14,frontend,shippingservice
15,adservice,docker-desktop
16,cartservice,docker-desktop
17,checkoutservice,docker-desktop
18,currencyservice,docker-desktop
19,currencyservice,docker-desktop
20,currencyservice,docker-desktop
21,currencyservice,docker-desktop
22,currencyservice,docker-desktop
23,currencyservice,docker-desktop
24,currencyservice,docker-desktop
25,currencyservice,docker-desktop
26,currencyservice,docker-desktop
27,currencyservice,docker-desktop
28,currencyservice,docker-desktop
29,currencyservice,docker-desktop
30,currencyservice,docker-desktop
31,emailservice,docker-desktop
32,frontend,docker-desktop
33,loadgenerator,docker-desktop
34,paymentservice,docker-desktop
35,productcatalogservice,docker-desktop
36,recommendationservice,docker-desktop
37,recommendationservice,docker-desktop
38,recommendationservice,docker-desktop
39,recommendationservice,docker-desktop
40,recommendationservice,docker-desktop
41,redis,docker-desktop
42,shippingservice,docker-desktop
