,source,destination
0,frontend,adservice
1,checkoutservice,cartservice
2,frontend,cartservice
3,frontend,checkoutservice
4,checkoutservice,currencyservice
5,frontend,currencyservice
6,checkoutservice,emailservice
7,loadgenerator,frontend
8,checkoutservice,paymentservice
9,checkoutservice,productcatalogservice
10,frontend,productcatalogservice
11,recommendationservice,productcatalogservice
12,frontend,recommendationservice
13,checkoutservice,shippingservice
14,frontend,shippingservice
15,adservice,docker-desktop
16,cartservice,docker-desktop
17,cartservice,docker-desktop
18,cartservice,docker-desktop
19,cartservice,docker-desktop
20,checkoutservice,docker-desktop
21,currencyservice,docker-desktop
22,emailservice,docker-desktop
23,frontend,docker-desktop
24,frontend,docker-desktop
25,frontend,docker-desktop
26,frontend,docker-desktop
27,loadgenerator,docker-desktop
28,paymentservice,docker-desktop
29,productcatalogservice,docker-desktop
30,recommendationservice,docker-desktop
31,redis,docker-desktop
32,shippingservice,docker-desktop
