,source,destination
0,frontend,adservice
1,checkoutservice,cartservice
2,frontend,cartservice
3,frontend,checkoutservice
4,checkoutservice,currencyservice
5,frontend,currencyservice
6,checkoutservice,emailservice
7,loadgenerator,frontend
8,checkoutservice,paymentservice
9,checkoutservice,productcatalogservice
10,frontend,productcatalogservice
11,recommendationservice,productcatalogservice
12,frontend,recommendationservice
13,checkoutservice,shippingservice
14,frontend,shippingservice
15,adservice,docker-desktop
16,cartservice,docker-desktop
17,checkoutservice,docker-desktop
18,currencyservice,docker-desktop
19,emailservice,docker-desktop
20,frontend,docker-desktop
21,loadgenerator,docker-desktop
22,paymentservice,docker-desktop
23,paymentservice,docker-desktop
24,paymentservice,docker-desktop
25,paymentservice,docker-desktop
26,paymentservice,docker-desktop
27,paymentservice,docker-desktop
28,paymentservice,docker-desktop
29,paymentservice,docker-desktop
30,paymentservice,docker-desktop
31,paymentservice,docker-desktop
32,paymentservice,docker-desktop
33,paymentservice,docker-desktop
34,paymentservice,docker-desktop
35,paymentservice,docker-desktop
36,productcatalogservice,docker-desktop
37,recommendationservice,docker-desktop
38,redis,docker-desktop
39,shippingservice,docker-desktop
40,shippingservice,docker-desktop
41,shippingservice,docker-desktop
42,shippingservice,docker-desktop
43,shippingservice,docker-desktop
44,shippingservice,docker-desktop
45,shippingservice,docker-desktop
46,shippingservice,docker-desktop
47,shippingservice,docker-desktop
