,source,destination
0,frontend,adservice
1,checkoutservice,cartservice
2,frontend,cartservice
3,frontend,checkoutservice
4,checkoutservice,currencyservice
5,frontend,currencyservice
6,checkoutservice,emailservice
7,loadgenerator,frontend
8,checkoutservice,paymentservice
9,checkoutservice,productcatalogservice
10,frontend,productcatalogservice
11,recommendationservice,productcatalogservice
12,frontend,recommendationservice
13,checkoutservice,shippingservice
14,frontend,shippingservice
15,adservice,docker-desktop
16,adservice,docker-desktop
17,adservice,docker-desktop
18,adservice,docker-desktop
19,adservice,docker-desktop
20,adservice,docker-desktop
21,cartservice,docker-desktop
22,checkoutservice,docker-desktop
23,currencyservice,docker-desktop
24,emailservice,docker-desktop
25,frontend,docker-desktop
26,loadgenerator,docker-desktop
27,paymentservice,docker-desktop
28,productcatalogservice,docker-desktop
29,recommendationservice,docker-desktop
30,recommendationservice,docker-desktop
31,recommendationservice,docker-desktop
32,recommendationservice,docker-desktop
33,recommendationservice,docker-desktop
34,recommendationservice,docker-desktop
35,recommendationservice,docker-desktop
36,recommendationservice,docker-desktop
37,recommendationservice,docker-desktop
38,recommendationservice,docker-desktop
39,recommendationservice,docker-desktop
40,recommendationservice,docker-desktop
41,recommendationservice,docker-desktop
42,redis,docker-desktop
43,shippingservice,docker-desktop
