,source,destination
0,frontend,adservice
1,checkoutservice,cartservice
2,frontend,cartservice
3,frontend,checkoutservice
4,checkoutservice,currencyservice
5,frontend,currencyservice
6,checkoutservice,emailservice
7,loadgenerator,frontend
8,checkoutservice,paymentservice
9,checkoutservice,productcatalogservice
10,frontend,productcatalogservice
11,recommendationservice,productcatalogservice
12,frontend,recommendationservice
13,checkoutservice,shippingservice
14,frontend,shippingservice
15,adservice,docker-desktop
16,cartservice,docker-desktop
17,cartservice,docker-desktop
18,cartservice,docker-desktop
19,cartservice,docker-desktop
20,cartservice,docker-desktop
21,cartservice,docker-desktop
22,cartservice,docker-desktop
23,cartservice,docker-desktop
24,cartservice,docker-desktop
25,cartservice,docker-desktop
26,cartservice,docker-desktop
27,cartservice,docker-desktop
28,cartservice,docker-desktop
29,cartservice,docker-desktop
30,checkoutservice,docker-desktop
31,currencyservice,docker-desktop
32,emailservice,docker-desktop
33,frontend,docker-desktop
34,frontend,docker-desktop
35,frontend,docker-desktop
36,frontend,docker-desktop
37,frontend,docker-desktop
38,frontend,docker-desktop
39,frontend,docker-desktop
40,frontend,docker-desktop
41,loadgenerator,docker-desktop
42,paymentservice,docker-desktop
43,productcatalogservice,docker-desktop
44,recommendationservice,docker-desktop
45,redis,docker-desktop
46,shippingservice,docker-desktop
