,timestamp,cartservice.csv
0,2023-08-22 05:24:05,0
1,2023-08-22 05:24:10,0
2,2023-08-22 05:24:15,0
3,2023-08-22 05:24:20,0
4,2023-08-22 05:24:25,0
5,2023-08-22 05:24:30,0
6,2023-08-22 05:24:35,0
7,2023-08-22 05:24:40,0
8,2023-08-22 05:24:45,0
9,2023-08-22 05:24:50,0
10,2023-08-22 05:24:55,0
11,2023-08-22 05:25:00,0
12,2023-08-22 05:25:05,0
13,2023-08-22 05:25:10,0
14,2023-08-22 05:25:15,0
15,2023-08-22 05:25:20,0
16,2023-08-22 05:25:25,0
17,2023-08-22 05:25:30,0
18,2023-08-22 05:25:35,0
19,2023-08-22 05:25:40,0
20,2023-08-22 05:25:45,0
21,2023-08-22 05:25:50,0
22,2023-08-22 05:25:55,0
23,2023-08-22 05:26:00,0
24,2023-08-22 05:26:05,0
25,2023-08-22 05:26:10,0
26,2023-08-22 05:26:15,0
27,2023-08-22 05:26:20,0
28,2023-08-22 05:26:25,0
29,2023-08-22 05:26:30,0
30,2023-08-22 05:26:35,0
31,2023-08-22 05:26:40,0
32,2023-08-22 05:26:45,0
33,2023-08-22 05:26:50,0
34,2023-08-22 05:26:55,0
35,2023-08-22 05:27:00,0
36,2023-08-22 05:27:05,0
37,2023-08-22 05:27:10,0
38,2023-08-22 05:27:15,0
39,2023-08-22 05:27:20,0
40,2023-08-22 05:27:25,0
41,2023-08-22 05:27:30,0
42,2023-08-22 05:27:35,1
43,2023-08-22 05:27:40,0
44,2023-08-22 05:27:45,0
45,2023-08-22 05:27:50,0
46,2023-08-22 05:27:55,0
47,2023-08-22 05:28:00,0
48,2023-08-22 05:28:05,0
49,2023-08-22 05:28:10,0
50,2023-08-22 05:28:15,0
51,2023-08-22 05:28:20,0
52,2023-08-22 05:28:25,0
53,2023-08-22 05:28:30,0
54,2023-08-22 05:28:35,0
55,2023-08-22 05:28:40,0
56,2023-08-22 05:28:45,0
57,2023-08-22 05:28:50,0
58,2023-08-22 05:28:55,0
59,2023-08-22 05:29:00,0
60,2023-08-22 05:29:05,0
61,2023-08-22 05:29:10,0
62,2023-08-22 05:29:15,0
63,2023-08-22 05:29:20,1
64,2023-08-22 05:29:25,0
65,2023-08-22 05:29:30,0
66,2023-08-22 05:29:35,0
67,2023-08-22 05:29:40,0
68,2023-08-22 05:29:45,0
69,2023-08-22 05:29:50,0
70,2023-08-22 05:29:55,0
71,2023-08-22 05:30:00,0
72,2023-08-22 05:30:05,0
73,2023-08-22 05:30:10,0
74,2023-08-22 05:30:15,0
75,2023-08-22 05:30:20,0
76,2023-08-22 05:30:25,0
77,2023-08-22 05:30:30,0
78,2023-08-22 05:30:35,0
79,2023-08-22 05:30:40,0
80,2023-08-22 05:30:45,0
81,2023-08-22 05:30:50,0
82,2023-08-22 05:30:55,0
83,2023-08-22 05:31:00,0
84,2023-08-22 05:31:05,0
85,2023-08-22 05:31:10,0
86,2023-08-22 05:31:15,0
87,2023-08-22 05:31:20,0
88,2023-08-22 05:31:25,0
89,2023-08-22 05:31:30,0
90,2023-08-22 05:31:35,0
91,2023-08-22 05:31:40,1
92,2023-08-22 05:31:45,0
93,2023-08-22 05:31:50,0
94,2023-08-22 05:31:55,0
95,2023-08-22 05:32:00,0
96,2023-08-22 05:32:05,0
97,2023-08-22 05:32:10,0
98,2023-08-22 05:32:15,1
99,2023-08-22 05:32:20,0
100,2023-08-22 05:32:25,0
101,2023-08-22 05:32:30,0
102,2023-08-22 05:32:35,0
103,2023-08-22 05:32:40,0
104,2023-08-22 05:32:45,0
105,2023-08-22 05:32:50,0
106,2023-08-22 05:32:55,0
107,2023-08-22 05:33:00,0
108,2023-08-22 05:33:05,0
109,2023-08-22 05:33:10,0
110,2023-08-22 05:33:15,0
111,2023-08-22 05:33:20,0
112,2023-08-22 05:33:25,0
113,2023-08-22 05:33:30,0
114,2023-08-22 05:33:35,0
115,2023-08-22 05:33:40,0
116,2023-08-22 05:33:45,0
117,2023-08-22 05:33:50,0
118,2023-08-22 05:33:55,0
119,2023-08-22 05:34:00,0
120,2023-08-22 05:34:05,0
