,source,destination
0,frontend,adservice
1,checkoutservice,cartservice
2,frontend,cartservice
3,frontend,checkoutservice
4,checkoutservice,currencyservice
5,frontend,currencyservice
6,checkoutservice,emailservice
7,loadgenerator,frontend
8,checkoutservice,paymentservice
9,checkoutservice,productcatalogservice
10,frontend,productcatalogservice
11,recommendationservice,productcatalogservice
12,frontend,recommendationservice
13,checkoutservice,shippingservice
14,frontend,shippingservice
15,adservice,docker-desktop
16,cartservice,docker-desktop
17,checkoutservice,docker-desktop
18,currencyservice,docker-desktop
19,emailservice,docker-desktop
20,frontend,docker-desktop
21,loadgenerator,docker-desktop
22,paymentservice,docker-desktop
23,productcatalogservice,docker-desktop
24,recommendationservice,docker-desktop
25,redis,docker-desktop
26,shippingservice,docker-desktop
27,shippingservice,docker-desktop
28,shippingservice,docker-desktop
29,shippingservice,docker-desktop
30,shippingservice,docker-desktop
31,shippingservice,docker-desktop
32,shippingservice,docker-desktop
33,shippingservice,docker-desktop
34,shippingservice,docker-desktop
35,shippingservice,docker-desktop
36,shippingservice,docker-desktop
37,shippingservice,docker-desktop
38,shippingservice,docker-desktop
39,shippingservice,docker-desktop
