,timestamp,productcatalogservice
16,2023-08-23 06:57:58,1
17,2023-08-23 06:57:58,1
18,2023-08-23 06:57:58,1
19,2023-08-23 06:57:58,1
32,2023-08-23 06:56:57,1
33,2023-08-23 06:56:57,1
34,2023-08-23 06:56:57,1
35,2023-08-23 06:56:57,1
36,2023-08-23 06:56:57,1
37,2023-08-23 06:56:57,1
38,2023-08-23 06:56:57,1
56,2023-08-23 06:56:14,1
57,2023-08-23 06:56:14,1
90,2023-08-23 06:53:41,1
123,2023-08-23 06:51:27,1
124,2023-08-23 06:51:27,1
125,2023-08-23 06:51:27,1
126,2023-08-23 06:51:27,1
127,2023-08-23 06:51:26,1
128,2023-08-23 06:51:26,1
129,2023-08-23 06:51:26,1
136,2023-08-23 06:50:35,1
137,2023-08-23 06:50:35,1
138,2023-08-23 06:50:35,1
139,2023-08-23 06:50:35,1
140,2023-08-23 06:50:35,1
141,2023-08-23 06:50:35,1
142,2023-08-23 06:50:35,1
143,2023-08-23 06:50:35,1
144,2023-08-23 06:50:33,1
145,2023-08-23 06:50:33,1
146,2023-08-23 06:50:33,1
157,2023-08-23 06:48:36,1
158,2023-08-23 06:48:36,1
159,2023-08-23 06:48:36,1
160,2023-08-23 06:48:36,1
161,2023-08-23 06:48:36,1
162,2023-08-23 06:48:36,1
163,2023-08-23 06:48:36,1
164,2023-08-23 06:48:36,1
