,details-v1-7d4d9d5fcb-pkpvm_cpu,productpage-v1-66756cddfd-psmzt_cpu,ratings-v1-85cc46b6d4-txdpr_cpu,reviews-v1-777df99c6d-lz7ht_cpu,reviews-v2-cdd8fb88b-pd9dw_cpu,reviews-v3-58b6479b-6btgp_cpu
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,1,0,0,0
12,1,0,1,0,0,0
13,1,1,1,0,0,0
14,1,1,1,0,0,0
15,1,1,1,0,0,0
16,1,1,1,0,0,0
17,1,1,1,0,0,0
18,1,1,1,0,0,0
19,1,1,1,0,0,0
20,1,1,1,0,0,0
21,1,1,1,0,0,0
22,1,1,1,0,0,0
23,1,0,1,0,0,1
24,1,0,1,0,1,1
25,1,0,0,1,1,1
26,0,0,0,1,1,1
27,0,0,0,1,1,1
28,0,0,0,1,1,1
29,0,0,0,1,1,1
30,0,0,0,1,1,1
31,0,0,0,1,1,1
32,0,0,0,1,1,1
33,0,1,0,1,1,1
34,1,0,1,1,1,1
35,1,1,1,1,0,1
36,1,1,1,1,0,0
37,1,1,1,0,0,0
38,1,1,1,0,0,0
39,1,1,1,0,0,0
40,1,1,1,0,0,0
41,1,1,1,0,0,0
42,1,1,1,0,0,0
43,1,1,1,0,0,0
44,1,1,1,0,0,0
45,1,1,1,0,0,0
46,1,1,1,1,0,1
47,1,0,0,1,1,1
48,0,0,0,1,1,1
49,0,0,0,1,1,1
50,0,0,0,1,1,1
51,0,0,0,1,1,1
52,0,0,0,1,1,1
53,0,0,0,1,1,1
54,0,0,0,1,1,1
55,1,0,0,1,1,1
56,1,0,0,1,1,1
57,1,1,0,1,1,1
58,1,1,1,0,0,0
59,1,1,1,0,0,0
60,1,1,1,0,0,0
61,1,1,1,0,0,0
62,1,1,1,0,0,0
63,1,1,1,0,0,0
64,1,1,1,0,0,0
65,1,1,1,0,0,0
66,1,1,1,0,0,0
67,1,1,1,0,0,0
68,1,1,1,0,0,0
69,1,1,1,1,0,0
70,1,1,0,1,1,1
71,1,0,0,1,1,1
72,0,0,0,1,1,1
73,0,0,0,1,1,1
74,0,0,0,1,1,1
75,0,0,0,1,1,1
76,0,0,0,1,1,1
77,0,0,0,1,1,1
78,0,0,0,1,1,1
79,0,0,0,1,1,1
80,1,0,1,1,1,1
81,1,1,1,0,0,1
82,1,1,0,0,0,0
83,1,1,1,0,0,0
84,1,1,1,0,0,0
85,1,1,1,0,0,0
86,1,1,1,0,0,0
87,1,1,1,0,0,0
88,1,1,1,0,0,0
89,1,1,1,0,0,0
90,1,1,1,0,0,0
91,1,1,1,1,0,1
92,0,1,0,1,1,1
93,0,0,0,1,1,1
94,0,0,0,1,0,1
95,0,0,0,1,1,1
96,0,0,0,1,1,1
97,0,0,0,1,1,1
98,0,0,0,1,1,1
99,0,0,0,1,1,1
100,0,0,0,1,1,1
101,1,0,0,1,1,1
102,1,0,0,1,0,1
103,1,1,0,1,0,1
104,1,1,1,1,0,1
105,1,1,1,0,0,0
106,1,1,0,0,0,0
107,1,1,1,0,0,0
108,1,1,1,0,0,0
109,0,1,1,0,0,0
110,1,1,1,0,0,0
111,1,1,1,0,0,0
112,1,1,1,0,0,0
113,1,1,1,0,0,1
114,1,1,0,1,0,1
115,1,0,0,1,0,1
116,1,0,0,1,1,1
117,1,0,0,1,1,1
118,0,0,0,1,1,1
119,0,0,0,1,1,1
120,0,0,0,1,1,1
